Customer ID,Age,Gender,Loyalty Member,Product Type,SKU,Rating,Order Status,Payment Method,Total Price,Unit Price,Quantity,Purchase Date,Shipping Type,Add-ons Purchased,Add-on Total,Spend per Unit,Is Loyal,Purchase Month,Purchase Day,Purchase Weekday,Has Add-ons,Add-ons Count,Gender_Encoded,Pay_Bank Transfer,Pay_Cash,Pay_Credit Card,Pay_Debit Card,Pay_PayPal,Pay_Paypal,Ship_Expedited,Ship_Express,Ship_Overnight,Ship_Same Day,Ship_Standard,Product_Headphones,Product_Laptop,Product_Smartphone,Product_Smartwatch,Product_Tablet,Add-on Cost per Unit,Total Spend
11022,26,Male,Yes,Smartphone,SMP234,1,Cancelled,PayPal,11396.8,1139.68,10,2024-05-08,Expedited,"Extended Warranty, Extended Warranty, Accessory",200.68,1139.6799999999998,1,5,8,Wednesday,1,3,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,20.068,11597.48
11046,47,Male,No,Smartphone,SMP234,4,Completed,Bank Transfer,11396.8,1139.68,10,2024-03-31,Same Day,Impulse Item,93.55,1139.6799999999998,0,3,31,Sunday,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,9.355,11490.35
11210,56,Male,Yes,Smartphone,SMP234,3,Completed,Bank Transfer,11396.8,1139.68,10,2024-08-30,Standard,"Extended Warranty, Impulse Item, Extended Warranty",91.7,1139.6799999999998,1,8,30,Friday,1,3,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,9.17,11488.5
11211,65,Male,No,Smartphone,SMP234,5,Cancelled,Bank Transfer,11396.8,1139.68,10,2024-03-17,Standard,"Extended Warranty, Accessory",101.91,1139.6799999999998,0,3,17,Sunday,1,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,10.191,11498.71
11281,22,Male,Yes,Smartphone,SMP234,4,Completed,Credit Card,11396.8,1139.68,10,2024-05-09,Standard,"Extended Warranty, Accessory, Impulse Item",177.8,1139.6799999999998,1,5,9,Thursday,1,3,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,17.78,11574.6
11284,63,Female,No,Smartphone,SMP234,2,Cancelled,Bank Transfer,11396.8,1139.68,10,2024-01-17,Same Day,"Extended Warranty, Impulse Item, Impulse Item",223.04,1139.6799999999998,0,1,17,Wednesday,1,3,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,22.304,11619.84
11313,47,Female,Yes,Smartphone,SMP234,1,Cancelled,Credit Card,11396.8,1139.68,10,2024-09-17,Same Day,"Accessory, Accessory",145.14,1139.6799999999998,1,9,17,Tuesday,1,2,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,14.514,11541.94
11323,24,Male,No,Smartphone,SMP234,5,Cancelled,PayPal,11396.8,1139.68,10,2024-08-27,Standard,"Impulse Item, Impulse Item",60.89,1139.6799999999998,0,8,27,Tuesday,1,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,6.089,11457.69
11476,24,Female,No,Smartphone,SMP234,3,Completed,Credit Card,11396.8,1139.68,10,2024-09-21,Expedited,Extended Warranty,60.51,1139.6799999999998,0,9,21,Saturday,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,6.051,11457.31
11509,23,Female,No,Smartphone,SMP234,5,Completed,Credit Card,11396.8,1139.68,10,2024-05-08,Standard,Extended Warranty,57.26,1139.6799999999998,0,5,8,Wednesday,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,5.726,11454.06
11563,37,Male,No,Smartphone,SMP234,1,Completed,Credit Card,11396.8,1139.68,10,2024-04-17,Same Day,Extended Warranty,45.97,1139.6799999999998,0,4,17,Wednesday,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,4.597,11442.77
11582,58,Male,No,Smartphone,SMP234,4,Cancelled,Credit Card,11396.8,1139.68,10,2024-03-09,Standard,"Impulse Item, Extended Warranty",110.66,1139.6799999999998,0,3,9,Saturday,1,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,11.066,11507.46
11601,39,Male,No,Smartphone,SMP234,3,Completed,PayPal,11396.8,1139.68,10,2024-04-05,Same Day,"Impulse Item, Impulse Item",56.5,1139.6799999999998,0,4,5,Friday,1,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,5.65,11453.3
11618,80,Male,No,Smartphone,SMP234,1,Completed,Bank Transfer,11396.8,1139.68,10,2024-03-19,Same Day,"Extended Warranty, Accessory",63.85,1139.6799999999998,0,3,19,Tuesday,1,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,6.385,11460.65
