Actual,Predicted
8.606851063346772,8.56784543680932
8.46884293047519,8.460598025130704
9.561912317739012,9.411108778391473
8.578476419833136,8.526492302094479
7.932003152361385,8.188855092363589
8.585785982881848,8.468720182529816
8.333510708982942,8.446973761106383
8.443761913330354,8.594788292267669
8.958025443361693,8.975306999664845
9.15302900526307,9.338533371954233
9.465757483840688,9.312944209395734
9.274910142625483,9.136003447131177
9.232101863757697,9.095742000238797
9.602652693506046,9.742239528700491
9.554284623436097,9.873984415115142
8.14351740579748,8.227850181381914
10.007036428164689,9.691541546225379
9.871532381294577,9.957826039880185
8.911260254572033,8.604220475053737
8.776938645174996,8.833256580206157
8.874028122556336,8.750288305699083
9.843843699608612,9.752239389154237
8.464846711044029,8.362433456134966
9.567525185909115,9.84372282867651
9.28720881623276,9.195085592082792
9.62535969288916,9.899748247725235
8.146419323098003,8.200426983281682
7.820037989458753,8.126847224047777
7.947325027016463,8.11256794732998
9.448175472033382,9.365170554822292
8.507748732588238,8.433393164594962
8.296546520300614,8.384660220200281
9.6004210780406,9.595997028003548
9.3502762122737,9.914333197033319
9.615938804529582,9.905119351811745
9.455558477608704,9.487832598554064
8.762489547371581,8.789589067307697
9.672752760526098,9.386218296039349
7.690286020676768,8.106279825472603
9.608982254736222,9.50700263671649
9.562685957753686,9.288708739737089
8.104099056143582,8.152654724170766
9.302919553269277,9.411327115955963
9.414015640094997,9.016791136918382
9.495293724856706,9.249713650718766
8.503702601233739,8.427236045276281
9.12674134809987,8.956748306683
8.613593685702552,8.477759357699798
9.784535083358834,9.877259478582527
8.28576542051433,8.369070918095533
9.362975618399776,9.350891278104497
9.66147968357552,9.77795955425143
9.364005219520331,9.478138410690606
8.74369111054302,8.496929395862221
9.080117784926207,9.280586582337977
9.308827318690836,9.375956430508213
7.892825526251117,8.12226213519344
8.663714844079005,8.369813265814805
7.592366128519796,8.09531927973509
9.942419762537916,9.88311092531092
8.310169021981912,8.414528799022829
8.938662873666118,8.839894042166723
9.40771473139643,9.356349717216803
8.39931015075952,8.379245448600873
9.356257246876336,9.034214474564868
8.52595469708481,8.352520930707016
8.972844314437573,9.138012152724507
9.218606116393214,9.06757645441929
9.460086905084928,9.991231687247506
8.315566483564277,8.344442440820801
9.942227380852058,9.830011229626393
9.424644974623188,9.150894069029551
8.88599431515281,8.644438254433219
9.630168502920114,9.556914603959427
9.586308009295324,9.301328650964745
9.3910773406399,9.151723751774622
9.154933364704444,9.09534899262271
8.835646922534773,8.95731598435068
7.487733761436444,8.04737235057258
9.379914355947635,9.3734237147601
9.384797753713336,9.351327953233481
8.90150275745161,8.778584854057286
9.794397869948424,9.863416876993716
8.778479952508487,8.729720907123909
8.23880116587155,8.268810308480669
7.418780882750794,8.064926690757762
9.087494541977335,8.858190730071177
8.212025804623437,8.314792199562747
8.869398159883518,8.722777772573055
9.427868184504756,9.377615795998354
9.167432870964909,9.244648219222544
9.027858802380862,8.850112240184963
9.615138591096644,9.836168348945076
9.560645068907071,9.353948004007389
7.989899374942939,8.216190955438025
7.987524479848767,8.152698391683666
8.430327258394575,8.550640436727328
9.062652099076578,8.613565322814008
9.438590860658538,9.604686863070343
8.72729202920964,8.555705868223548
9.113609183016411,8.873343357046943
8.158516244806831,8.372607986640308
8.393442383980062,8.381341489219999
8.863898604317479,8.553828165168914
8.981304494957135,8.683870018580526
9.233959237574815,8.90120323027616
9.311090275076326,8.947054118819542
9.637632201310456,9.345170833914798
7.88758403166028,8.080035650220628
8.089175678837561,8.20300336654269
8.437067146936952,8.324530054939103
7.762170607138205,8.131344977876319
8.111928063310739,8.2707753465611
9.064505023752638,8.894260095725304
8.6652683094816,8.726096503553338
8.842604480678025,8.550596769214428
8.859647499714997,8.700551008507738
9.460943436186543,9.240019462855308
9.27865301215827,9.270674056910027
8.23323750070527,8.225535803198296
8.385944904806284,8.4805540785253
9.323847612769775,9.731060645398484
8.002359546252707,8.307499724908704
8.918248591035702,8.776052138309176
8.32020459757888,8.346101806310942
9.306650052113593,9.389275021942241
8.525359754082631,8.58168803839813
9.415808631610384,9.24194083342284
9.62450089845157,9.782850315696058
9.31343832997975,9.020764880592143
9.176886995716965,8.931595819253488
8.34924780056679,8.356887681996861
9.284798282894192,9.134693421744224
9.309642573050043,9.301503321016337
8.177796683277778,8.216802300618603
9.48311183169221,9.531893119068611
8.817890200945513,8.524134256397963
7.590852123688581,8.050647414039965
7.7752758464868625,8.125668201199518
9.777697546477828,9.790186457863
9.772980154456343,9.963895824173072
9.613669867953924,9.781845962899393
9.224736252259914,8.888583319048506
9.652073119254888,9.790273792888796
9.382022193665792,9.131243688225245
7.914252278742441,8.225754140762788
9.7706416392027,9.819574694043663
9.105535257610056,8.982905146909177
8.916640227198839,8.567190424115843
9.72232532346202,9.872106712060509
8.37309184744198,8.611643952246474
8.065893546964274,8.230819572259009
9.281637253858216,9.055174880756129
9.917932716967623,9.951319580458314
7.558516743045645,8.076236576598463
8.369620826949102,8.449593811880291
9.63782786411884,9.886604326342798
8.479283618343016,8.664918317982595
9.421573272264558,9.29211480574317
9.639522006701664,9.535124515023096
9.291920358968603,9.191723193589612
8.832587702434553,9.14015186085653
8.529911963824013,8.34474811341109
9.507031738585551,9.324909107929912
9.518486617560317,9.396218156493097
7.636752112435779,8.11824472400678
9.52369019117654,9.693637586844504
9.8220605538404,9.528967395704415
9.277531621516506,9.28246428539261
9.167432870964909,8.84592015894671
9.52937575208596,9.611236990005112
9.543808099577095,9.454863626315728
8.245384468120747,8.282041564888903
8.16763571524637,8.256059394714319
9.439227397917458,9.167313053879372
7.959974528080536,8.125100523531838
8.794673401383422,8.49304298721426
8.882114044208821,8.650464371213205
9.137662146478196,9.245084894351528
9.47730940283042,9.88341659790121
9.154827662045925,8.792558458184793
9.26624800391448,9.437876963798228
9.44896349413878,9.56735113954216
9.062768007509048,8.897273154115299
9.366660126231135,9.236307724258939
